"Tarih","Saat","PTF (TL/MWh)","PTF (USD/MWh)","PTF (EUR/MWh)"
"05/04/2021","00:00","240,00","29,86","25,36"
"05/04/2021","01:00","284,99","35,46","30,11"
"05/04/2021","02:00","228,38","28,42","24,13"
"05/04/2021","03:00","200,00","24,89","21,13"
"05/04/2021","04:00","228,87","28,48","24,18"
"05/04/2021","05:00","250,01","31,11","26,42"
"05/04/2021","06:00","300,01","37,33","31,70"
"05/04/2021","07:00","311,03","38,70","32,86"
"05/04/2021","08:00","319,37","39,74","33,74"
"05/04/2021","09:00","321,88","40,05","34,01"
"05/04/2021","10:00","323,98","40,32","34,23"
"05/04/2021","11:00","323,45","40,25","34,17"
"05/04/2021","12:00","318,86","39,68","33,69"
"05/04/2021","13:00","320,80","39,92","33,89"
"05/04/2021","14:00","323,71","40,28","34,20"
"05/04/2021","15:00","323,15","40,21","34,14"
"05/04/2021","16:00","327,36","40,74","34,59"
"05/04/2021","17:00","330,65","41,15","34,94"
"05/04/2021","18:00","330,90","41,18","34,96"
"05/04/2021","19:00","334,99","41,69","35,39"
"05/04/2021","20:00","332,48","41,37","35,13"
"05/04/2021","21:00","327,81","40,79","34,64"
"05/04/2021","22:00","324,33","40,36","34,27"
"05/04/2021","23:00","319,20","39,72","33,73"
"06/04/2021","00:00","311,56","38,77","32,92"
"06/04/2021","01:00","315,94","39,31","33,38"
"06/04/2021","02:00","313,26","38,98","33,10"
"06/04/2021","03:00","310,77","38,67","32,83"
"06/04/2021","04:00","300,01","37,33","31,70"
"06/04/2021","05:00","300,02","37,33","31,70"
"06/04/2021","06:00","300,00","37,33","31,70"
"06/04/2021","07:00","310,08","38,59","32,76"
"06/04/2021","08:00","321,21","39,97","33,94"
"06/04/2021","09:00","323,05","40,20","34,13"
"06/04/2021","10:00","323,50","40,26","34,18"
"06/04/2021","11:00","322,85","40,17","34,11"
"06/04/2021","12:00","314,83","39,18","33,26"
"06/04/2021","13:00","314,67","39,16","33,25"
"06/04/2021","14:00","315,93","39,31","33,38"
"06/04/2021","15:00","314,96","39,19","33,28"
"06/04/2021","16:00","314,14","39,09","33,19"
"06/04/2021","17:00","316,13","39,34","33,40"
"06/04/2021","18:00","315,24","39,23","33,31"
"06/04/2021","19:00","318,56","39,64","33,66"
"06/04/2021","20:00","318,46","39,63","33,65"
"06/04/2021","21:00","313,39","39,00","33,11"
"06/04/2021","22:00","300,01","37,33","31,70"
"06/04/2021","23:00","249,98","31,11","26,41"
"07/04/2021","00:00","231,95","28,50","24,26"
"07/04/2021","01:00","312,15","38,35","32,64"
"07/04/2021","02:00","300,01","36,86","31,37"
"07/04/2021","03:00","231,70","28,47","24,23"
"07/04/2021","04:00","231,33","28,42","24,19"
"07/04/2021","05:00","258,01","31,70","26,98"
"07/04/2021","06:00","235,63","28,95","24,64"
"07/04/2021","07:00","300,01","36,86","31,37"
"07/04/2021","08:00","316,94","38,94","33,15"
"07/04/2021","09:00","313,38","38,50","32,77"
"07/04/2021","10:00","313,48","38,51","32,78"
"07/04/2021","11:00","311,05","38,22","32,53"
"07/04/2021","12:00","230,45","28,31","24,10"
"07/04/2021","13:00","231,30","28,42","24,19"
"07/04/2021","14:00","249,99","30,71","26,14"
"07/04/2021","15:00","249,99","30,71","26,14"
"07/04/2021","16:00","290,00","35,63","30,33"
"07/04/2021","17:00","315,60","38,77","33,00"
"07/04/2021","18:00","321,40","39,49","33,61"
"07/04/2021","19:00","328,05","40,30","34,31"
"07/04/2021","20:00","328,91","40,41","34,40"
"07/04/2021","21:00","325,22","39,96","34,01"
"07/04/2021","22:00","321,24","39,47","33,59"
"07/04/2021","23:00","314,30","38,61","32,87"
"08/04/2021","00:00","230,62","28,32","23,98"
"08/04/2021","01:00","312,68","38,39","32,51"
"08/04/2021","02:00","301,13","36,98","31,31"
"08/04/2021","03:00","269,42","33,08","28,01"
"08/04/2021","04:00","268,00","32,91","27,86"
"08/04/2021","05:00","300,00","36,84","31,19"
"08/04/2021","06:00","275,01","33,77","28,59"
"08/04/2021","07:00","280,01","34,38","29,11"
"08/04/2021","08:00","315,75","38,77","32,83"
"08/04/2021","09:00","311,58","38,26","32,39"
"08/04/2021","10:00","312,20","38,33","32,46"
"08/04/2021","11:00","313,26","38,46","32,57"
"08/04/2021","12:00","269,42","33,08","28,01"
"08/04/2021","13:00","299,99","36,84","31,19"
"08/04/2021","14:00","310,94","38,18","32,33"
"08/04/2021","15:00","304,99","37,45","31,71"
"08/04/2021","16:00","280,00","34,38","29,11"
"08/04/2021","17:00","310,28","38,10","32,26"
"08/04/2021","18:00","311,03","38,19","32,33"
"08/04/2021","19:00","314,51","38,62","32,70"
"08/04/2021","20:00","312,58","38,38","32,50"
"08/04/2021","21:00","280,01","34,38","29,11"
"08/04/2021","22:00","269,41","33,08","28,01"
"08/04/2021","23:00","231,16","28,38","24,03"
"09/04/2021","00:00","227,98","27,91","23,48"
"09/04/2021","01:00","310,29","37,98","31,96"
"09/04/2021","02:00","241,10","29,51","24,84"
"09/04/2021","03:00","227,99","27,91","23,49"
"09/04/2021","04:00","227,99","27,91","23,49"
"09/04/2021","05:00","250,00","30,60","25,75"
"09/04/2021","06:00","227,99","27,91","23,49"
"09/04/2021","07:00","200,00","24,48","20,60"
"09/04/2021","08:00","313,83","38,42","32,33"
"09/04/2021","09:00","315,36","38,61","32,49"
"09/04/2021","10:00","316,35","38,73","32,59"
"09/04/2021","11:00","316,29","38,72","32,58"
"09/04/2021","12:00","241,10","29,51","24,84"
"09/04/2021","13:00","227,98","27,91","23,48"
"09/04/2021","14:00","310,52","38,01","31,99"
"09/04/2021","15:00","310,42","38,00","31,98"
"09/04/2021","16:00","300,00","36,73","30,90"
"09/04/2021","17:00","310,50","38,01","31,99"
"09/04/2021","18:00","300,00","36,73","30,90"
"09/04/2021","19:00","314,66","38,52","32,41"
"09/04/2021","20:00","315,04","38,57","32,45"
"09/04/2021","21:00","312,09","38,21","32,15"
"09/04/2021","22:00","310,12","37,96","31,95"
"09/04/2021","23:00","261,99","32,07","26,99"
"10/04/2021","00:00","300,01","36,80","30,99"
"10/04/2021","01:00","313,13","38,41","32,35"
"10/04/2021","02:00","310,53","38,09","32,08"
"10/04/2021","03:00","227,99","27,97","23,55"
"10/04/2021","04:00","259,00","31,77","26,75"
"10/04/2021","05:00","310,57","38,10","32,08"
"10/04/2021","06:00","227,99","27,97","23,55"
"10/04/2021","07:00","200,01","24,54","20,66"
"10/04/2021","08:00","311,75","38,24","32,20"
"10/04/2021","09:00","240,01","29,44","24,79"
"10/04/2021","10:00","285,00","34,96","29,44"
"10/04/2021","11:00","311,33","38,19","32,16"
"10/04/2021","12:00","241,10","29,58","24,90"
"10/04/2021","13:00","279,99","34,35","28,92"
"10/04/2021","14:00","310,82","38,13","32,11"
"10/04/2021","15:00","290,00","35,57","29,96"
"10/04/2021","16:00","241,08","29,57","24,90"
"10/04/2021","17:00","241,09","29,58","24,90"
"10/04/2021","18:00","311,58","38,22","32,19"
"10/04/2021","19:00","317,95","39,00","32,84"
"10/04/2021","20:00","319,45","39,19","33,00"
"10/04/2021","21:00","315,57","38,71","32,60"
"10/04/2021","22:00","313,00","38,40","32,33"
"10/04/2021","23:00","270,00","33,12","27,89"
"11/04/2021","00:00","312,10","38,35","32,25"
"11/04/2021","01:00","317,95","39,07","32,85"
"11/04/2021","02:00","314,65","38,66","32,51"
"11/04/2021","03:00","312,04","38,34","32,24"
"11/04/2021","04:00","310,22","38,12","32,06"
"11/04/2021","05:00","310,36","38,14","32,07"
"11/04/2021","06:00","280,01","34,41","28,93"
"11/04/2021","07:00","180,00","22,12","18,60"
"11/04/2021","08:00","290,00","35,63","29,97"
"11/04/2021","09:00","101,01","12,41","10,44"
"11/04/2021","10:00","227,98","28,01","23,56"
"11/04/2021","11:00","250,00","30,72","25,83"
"11/04/2021","12:00","258,01","31,70","26,66"
"11/04/2021","13:00","232,01","28,51","23,97"
"11/04/2021","14:00","285,00","35,02","29,45"
"11/04/2021","15:00","290,00","35,63","29,97"
"11/04/2021","16:00","284,99","35,02","29,45"
"11/04/2021","17:00","311,51","38,28","32,19"
